title,neighborhood,time_duration,bedrooms,bathrooms,size,price
فيلا للبيع في شارع الناقورة ، حي نمار ، الرياض,نمار,7 days 00:00:00,4.70312813314618,4.0,640.0,1800000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 00:01:00,4.0,4.0,447.0,1460000.0
فيلا للبيع في شارع الفيء ، حي الربيع ، الرياض,الربيع,1 days 00:00:00,4.0,5.0,450.0,1750000.0
فيلا للبيع في الرياض,طويق,91 days 06:00:00,4.0,5.0,336.0,1200000.0
فيلا للبيع في شارع وادي الساحل ، الرياض,الرمال,0 days 13:00:00,4.0,4.0,373.0,1230000.0
فيلا للبيع في الرياض,النرجس,0 days 04:00:00,5.0,4.0,300.0,1500000.0
"فيلا للبيع في شارع الغاط, التعاون, الرياض",التعاون,2 days 00:00:00,5.0,5.0,625.0,3000000.0
فيلا للبيع في الرياض,طويق,3 days 00:00:00,5.0,5.0,270.0,1050000.0
فيلا للبيع في شارع زينب بنت خزيمة ، حي الملك فهد ، الرياض,فهد,0 days 11:00:00,3.0,4.449167836374574,475.6799679165831,3000000.0
فيلا للبيع في حي الملقا ، الرياض,الملقا,0 days 04:00:00,4.0,5.0,340.0,2300000.0
فيلا للبيع في شارع اوس بن عوف ، حي العقيق ، الرياض,العقيق,0 days 00:01:00,4.0,5.0,237.0,1600000.0
فيلا للبيع في الرياض,طويق,0 days 12:00:00,5.0,5.0,475.0,1080000.0
فيلا للبيع في شارع نجم الدين الأيوبي الفرعي ، الرياض,طويق,14 days 00:00:00,6.0,5.0,430.0,1430000.0
فيلا للبيع في حي أحد ، الرياض,أحد,30 days 10:00:00,5.0,4.0,337.0,780000.0
فيلا للبيع في شارع لزمة ، حي حطين ، الرياض,حطين,0 days 23:00:00,4.70312813314618,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,العارض,7 days 00:00:00,5.0,5.0,270.0,1400000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 04:00:00,5.0,5.0,651.0,1895102.561459796
فيلا للبيع في الرياض,الرمال,2 days 00:00:00,6.0,5.0,310.0,1100000.0
فيلا للبيع في شارع رقم 312 ، الرياض,الملقا,0 days 21:00:00,5.0,5.0,500.0,1895102.561459796
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,العارض,7 days 00:00:00,4.0,5.0,216.0,1300000.0
فيلا للبيع في حي الرمال ، الرياض,الرمال,60 days 20:00:00,4.0,5.0,310.0,1120000.0
فيلا للبيع في شارع علي البجادي ، الرياض,الرمال,7 days 00:00:00,5.0,5.0,235.0,960000.0
فيلا للبيع في حي القيروان ، الرياض,القيروان,21 days 00:00:00,4.70312813314618,5.0,338.0,1900000.0
فيلا للبيع في الرياض,النرجس,7 days 00:00:00,3.0,5.0,351.0,1600000.0
فيلا للبيع في شارع الثامله ، حي الرحمانية ، الرياض,الرحمانية,0 days 14:00:00,4.0,5.0,185.0,1200000.0
فيلا للبيع في الرياض,المهدية,6 days 00:00:00,4.0,5.0,266.0,950000.0
فيلا للبيع في شارع ابن الفاخوري ، حي السويدي ، الرياض,السويدي,4 days 00:00:00,4.70312813314618,5.0,460.0,650000.0
فيلا للبيع في شارع مسلط بن الأزمع ، الرياض,طويق,6 days 00:00:00,5.0,4.0,240.0,850000.0
فيلا للبيع في حي الرمال ، الرياض,الرمال,1 days 00:00:00,4.0,4.0,372.0,1200000.0
فيلا للبيع في حي الملقا ، الرياض,الملقا,1 days 00:00:00,4.0,4.0,410.0,2600000.0
فيلا للبيع في شارع وادي الساحل ، الرياض,الرمال,0 days 13:00:00,4.0,3.0,375.0,1380000.0
فيلا للبيع في شارع الالوسي ، الرياض,النرجس,0 days 04:00:00,4.0,5.0,348.0,1500000.0
فيلا للبيع في الرياض,المهدية,4 days 00:00:00,3.0,3.0,375.0,900000.0
فيلا للبيع في الرياض,حطين,0 days 04:00:00,5.0,3.0,405.0,2650000.0
فيلا للبيع في شارع رقم 360 ، الرياض,النرجس,0 days 07:00:00,4.0,4.449167836374574,262.0,1250000.0
فيلا للبيع في حي طويق ، الرياض,طويق,2 days 00:00:00,4.0,3.0,536.0,1600000.0
فيلا للبيع في المملكة العربية السعودية,العارض,3 days 00:00:00,4.0,5.0,337.0,1490000.0
فيلا للبيع في شارع السخاء ، حي العوالي ، الرياض,نمار,0 days 07:00:00,5.0,5.0,450.0,1500000.0
فيلا للبيع في الرياض,الجنادرية,60 days 20:00:00,3.0,3.0,340.0,860000.0
فيلا للبيع في حي أحد ، الرياض,أحد,60 days 20:00:00,5.0,4.0,488.0,930000.0
فيلا للبيع في شارع راشد السلمي ، حي السعادة ، الرياض,السعادة,0 days 09:00:00,5.0,5.0,421.0,1500000.0
فيلا للبيع في حي العزيزية ، الرياض,العزيزية,30 days 10:00:00,4.0,4.0,330.0,1200000.0
فيلا للبيع في شارع نجم الدين الأيوبي الفرعي ، حي العوالي ، الرياض,نمار,30 days 10:00:00,4.0,3.0,450.0,1450000.0
فيلا للبيع في حي القادسية ، الرياض,القادسية,2 days 00:00:00,5.0,4.0,312.0,1150000.0
فيلا للبيع في شارع وادي اللحام ، حي الشهداء ، الرياض,الشهداء,6 days 00:00:00,4.70312813314618,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع نجم الدين الأيوبي الفرعي ، الرياض,طويق,0 days 05:00:00,5.0,4.0,350.0,1200000.0
فيلا للبيع في حي الجنادرية ، الرياض,الجنادرية,91 days 06:00:00,3.0,4.449167836374574,330.0,770000.0
فيلا للبيع في الرياض,طويق,0 days 10:00:00,5.0,5.0,300.0,900000.0
فيلا للبيع في شارع وادي الساحل ، الرياض,الرمال,0 days 13:00:00,4.0,4.0,330.0,1250000.0
فيلا للبيع في الرياض,العارض,0 days 07:00:00,4.0,5.0,420.0,1750000.0
فيلا للبيع في حي عكاظ ، الرياض,عكاظ,7 days 00:00:00,4.0,5.0,390.0,1170000.0
فيلا للبيع في شارع ابن البدر ، حي نمار ، الرياض,نمار,5 days 00:00:00,4.70312813314618,5.0,375.0,1300000.0
فيلا للبيع في حي المونسية ، الرياض,المونسية,30 days 10:00:00,5.0,3.0,312.0,1300000.0
فيلا للبيع في حي المونسية ، الرياض,المونسية,2 days 00:00:00,4.0,5.0,256.0,1220000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 11:00:00,5.0,5.0,375.0,2050000.0
فيلا للبيع في شارع الامير محمد بن فيصل بن تركي ، حي القدس ، الرياض,القدس,0 days 08:00:00,5.0,5.0,375.0,1800000.0
فيلا للبيع في الرياض,طويق,0 days 19:00:00,3.0,5.0,450.0,1450000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 05:00:00,5.0,5.0,360.0,2200000.0
فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي المونسية ، الرياض,المونسية,21 days 00:00:00,4.0,3.0,300.0,1300000.0
فيلا للبيع في الرياض,طويق,0 days 07:00:00,5.0,5.0,200.0,820000.0
فيلا للبيع في طريق علي البجادي ، حي الرمال ، الرياض,الرمال,2 days 00:00:00,3.0,3.0,246.0,1000000.0
فيلا للبيع في طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي ، حي القادسية ، الرياض,القادسية,30 days 10:00:00,4.70312813314618,5.0,512.0,1900000.0
فيلا للبيع في المملكة العربية السعودية,المونسية,21 days 00:00:00,5.0,4.0,204.0,1100000.0
فيلا للبيع في شارع ابي معاذ الانصاري ، حي الربيع ، الرياض,الربيع,30 days 10:00:00,5.0,5.0,360.0,2400000.0
فيلا للبيع في الرياض,طويق,1 days 00:00:00,5.0,5.0,435.0,1430000.0
فيلا للبيع في شارع نجم الدين الأيوبي ، الرياض,طويق,3 days 00:00:00,4.0,5.0,300.0,900000.0
فيلا للبيع في طريق السيل الكبير ، الرياض,المهدية,4 days 00:00:00,3.0,3.0,375.0,870000.0
